ID,title,prio,descr,impact,criticality,createdAt,createdBy,modifiedAt,modifiedBy
43464796-f8d0-4e1c-908c-868eaff86fd5,title-4346479,prid-4346479,descr-4346479,62,78,2005-08-17T00:00:00.000Z,createdBy.2l5rj@example.org,2003-12-19T00:00:00.000Z,modifiedBy.2l5rj@example.net
43464800-7c22-4a35-939e-24a2c1d34516,title-4346480,prid-4346480,descr-4346480,43,11,2005-02-02T00:00:00.000Z,createdBy.2l5rk@example.net,2003-05-09T00:00:00.000Z,modifiedBy.2l5rk@example.com
43464812-b080-4711-9f44-486ea63f005f,title-4346481,prid-4346481,descr-4346481,67,25,2007-06-28T00:00:00.000Z,createdBy.2l5rl@example.com,2015-03-02T00:00:00.000Z,modifiedBy.2l5rl@example.com
43464824-59a1-4cae-bba8-dfe067a103eb,title-4346482,prid-4346482,descr-4346482,30,47,2022-04-25T00:00:00.000Z,createdBy.2l5rm@example.net,2020-07-23T00:00:00.000Z,modifiedBy.2l5rm@example.com
43464833-0a96-4779-b3dc-27ca8d049389,title-4346483,prid-4346483,descr-4346483,19,35,2014-07-18T00:00:00.000Z,createdBy.2l5rn@example.org,2017-11-23T00:00:00.000Z,modifiedBy.2l5rn@example.net
43464842-4359-4702-8757-b74ebf709b3b,title-4346484,prid-4346484,descr-4346484,23,46,2011-08-14T00:00:00.000Z,createdBy.2l5ro@example.com,2018-10-27T00:00:00.000Z,modifiedBy.2l5ro@example.com
43464852-efdc-4f30-b321-45e157991dd1,title-4346485,prid-4346485,descr-4346485,84,78,2008-04-06T00:00:00.000Z,createdBy.2l5rp@example.org,2017-03-22T00:00:00.000Z,modifiedBy.2l5rp@example.org
4346486b-c7e2-422c-b749-0fa7c2b273ee,title-4346486,prid-4346486,descr-4346486,53,26,2014-11-18T00:00:00.000Z,createdBy.2l5rq@example.com,2020-01-31T00:00:00.000Z,modifiedBy.2l5rq@example.org
4346487a-7238-4571-95e4-b0e0c14fedf3,title-4346487,prid-4346487,descr-4346487,65,11,2009-10-26T00:00:00.000Z,createdBy.2l5rr@example.net,2010-06-09T00:00:00.000Z,modifiedBy.2l5rr@example.net
43464885-761f-4ed8-9855-9bba0c235ca0,title-4346488,prid-4346488,descr-4346488,74,30,2003-03-20T00:00:00.000Z,createdBy.2l5rs@example.com,2000-07-20T00:00:00.000Z,modifiedBy.2l5rs@example.net
4346489a-8cf9-44bb-8624-9b9e91b4c82e,title-4346489,prid-4346489,descr-4346489,4,72,2000-05-20T00:00:00.000Z,createdBy.2l5rt@example.net,2016-03-23T00:00:00.000Z,modifiedBy.2l5rt@example.net
43464909-7412-4ae5-a498-9abc82263bdf,title-4346490,prid-4346490,descr-4346490,27,35,2007-03-14T00:00:00.000Z,createdBy.2l5ru@example.org,2020-04-05T00:00:00.000Z,modifiedBy.2l5ru@example.net
43464911-d9c1-4e7d-9d7f-0f334f7f8a29,title-4346491,prid-4346491,descr-4346491,96,84,2013-10-15T00:00:00.000Z,createdBy.2l5rv@example.net,2000-08-12T00:00:00.000Z,modifiedBy.2l5rv@example.com
43464929-6798-4109-b82e-3d72b3ebeaa0,title-4346492,prid-4346492,descr-4346492,35,49,2016-02-10T00:00:00.000Z,createdBy.2l5rw@example.net,2003-05-20T00:00:00.000Z,modifiedBy.2l5rw@example.net
43464938-7592-4af1-97e8-4fd2d0bf5125,title-4346493,prid-4346493,descr-4346493,45,65,2018-08-17T00:00:00.000Z,createdBy.2l5rx@example.org,2005-09-07T00:00:00.000Z,modifiedBy.2l5rx@example.net
